,class
503,2
504,0
505,1
506,0
507,3
508,1
509,1
510,2
511,2
512,2
513,0
514,3
515,0
516,2
517,2
518,1
519,3
520,0
521,2
522,3
523,0
524,2
525,1
526,3
527,2
528,1
529,1
530,1
531,3
532,2
533,0
534,2
535,1
536,2
537,0
538,3
539,3
540,1
541,3
542,2
543,2
544,3
545,0
546,1
547,2
548,3
549,1
550,3
551,2
552,3
553,1
554,1
555,1
556,0
557,3
558,2
559,0
560,3
561,2
562,3
563,3
564,0
565,3
566,3
567,3
568,2
569,2
570,3
571,0
572,1
573,1
574,2
575,3
576,3
577,1
578,0
579,1
580,1
581,1
582,2
583,2
584,0
585,0
586,2
587,1
588,3
589,2
590,0
591,3
592,1
593,3
594,3
595,0
596,2
597,3
598,0
599,2
600,0
601,0
602,0
603,0
604,2
605,2
606,0
607,0
608,1
609,2
610,2
611,1
612,2
613,2
614,1
615,0
616,3
617,0
618,0
619,3
620,2
621,0
622,0
623,0
624,0
625,0
626,3
627,0
628,3
629,1
630,3
631,2
632,1
633,3
634,2
635,0
636,1
637,0
638,3
639,2
640,2
641,2
642,0
643,3
644,0
645,2
646,0
647,2
648,1
649,1
650,2
651,1
652,1
653,2
654,2
655,3
656,1
657,3
658,1
659,2
660,1
661,3
662,2
663,0
664,2
665,2
666,0
667,3
668,3
669,0
670,3
671,1
672,1
673,2
674,0
675,3
676,2
677,0
678,2
679,2
680,3
681,0
682,0
683,3
684,0
685,1
686,2
687,3
688,2
689,2
690,1
691,2
692,1
693,1
694,3
695,0
696,1
697,0
698,2
699,2
700,1
701,0
702,0
703,1
704,0
705,0
706,3
707,0
708,1
709,2
710,0
711,1
712,1
713,0
714,2
715,0
716,3
717,2
718,3
719,0
720,1
721,1
722,2
723,1
724,1
725,0
726,1
727,1
728,0
729,1
730,2
731,0
732,0
733,3
734,3
735,1
736,3
737,1
738,1
739,3
740,0
741,1
742,0
743,1
744,2
745,0
746,3
747,1
748,0
749,3
750,0
751,1
752,1
753,3
754,3
755,2
756,2
757,3
758,0
759,3
760,2
761,0
762,0
763,0
764,3
765,3
766,2
767,0
768,2
769,1
770,2
771,1
772,0
773,3
774,2
775,1
776,3
777,1
778,1
779,1
780,0
781,2
782,3
783,1
784,2
785,1
786,2
787,0
788,0
789,1
790,1
791,0
792,2
793,0
794,1
795,0
796,0
797,2
798,2
799,3
800,3
801,0
802,1
803,2
804,1
805,2
806,0
807,0
808,3
809,1
810,0
811,2
812,0
813,3
814,2
815,2
816,1
817,2
818,0
819,2
820,1
821,3
822,0
823,0
824,3
825,2
826,2
827,0
828,0
829,2
830,3
831,3
832,1
833,2
834,2
835,1
836,0
837,0
838,2
839,3
840,1
841,3
842,0
843,0
844,0
845,2
846,2
847,1
848,2
849,0
850,3
851,3
852,1
853,2
854,2
855,3
856,0
857,1
858,1
859,2
860,0
861,2
862,1
863,0
864,1
865,3
866,1
867,1
868,3
869,0
870,2
871,3
872,1
873,2
874,1
875,1
876,3
877,2
878,0
879,1
880,3
881,0
882,2
883,3
884,3
885,2
886,2
887,3
888,2
889,1
890,1
891,2
892,0
893,2
894,1
895,1
896,1
897,2
898,2
899,1
900,2
901,1
902,0
903,1
904,3
905,0
906,0
907,1
908,2
909,3
910,1
911,0
912,0
913,2
914,1
915,2
916,3
917,0
918,3
919,3
920,1
921,1
922,3
923,0
924,2
925,3
926,1
927,2
928,1
929,2
930,3
931,2
932,0
933,3
934,1
935,1
936,2
937,0
938,2
939,1
940,2
941,2
942,1
943,0
944,2
945,3
946,1
947,0
948,1
949,1
950,2
951,1
952,2
953,0
954,3
955,3
956,0
957,2
958,2
959,2
960,3
961,0
962,2
963,1
964,1
965,2
966,2
967,3
968,3
969,0
970,2
971,2
972,2
973,1
974,3
975,0
976,1
977,3
978,0
979,1
980,0
981,0
982,3
983,3
984,2
985,0
986,1
987,0
988,0
989,3
990,2
991,3
992,3
993,0
994,0
995,1
996,1
997,1
998,2
999,2
